30-03-2020@12:01:30 | INFO | Job with name JokerJob was done at time
30-03-2020@12:01:31 | INFO | Calculating result for job JokerJob took time
30-03-2020@12:01:31 | INFO | Job with name JokerJob was done at time
30-03-2020@12:01:32 | INFO | Calculating result for job JokerJob took time
30-03-2020@12:03:40 | INFO | Job with name JokerJob was done at time
30-03-2020@12:03:41 | INFO | Calculating result for job JokerJob took time
30-03-2020@12:03:41 | INFO | Job with name JokerJob was done at time
30-03-2020@12:03:42 | INFO | Calculating result for job JokerJob took time
30-03-2020@12:03:51 | INFO | Job with name JokerJob was done at time
30-03-2020@12:03:53 | INFO | Calculating result for job JokerJob took time
30-03-2020@12:03:53 | INFO | Job with name JokerJob was done at time
30-03-2020@12:03:53 | INFO | Calculating result for job JokerJob took time
30-03-2020@12:04:04 | INFO | Job with name JokerJob was done at time
30-03-2020@12:04:05 | INFO | Calculating result for job JokerJob took time
30-03-2020@12:04:05 | INFO | Job with name JokerJob was done at time
30-03-2020@12:04:05 | INFO | Calculating result for job JokerJob took time
30-03-2020@12:06:08 | INFO | Job with name JokerJob was done at time
30-03-2020@12:06:09 | INFO | Calculating result for job JokerJob took time
30-03-2020@12:06:10 | INFO | Job with name JokerJob was done at time
30-03-2020@12:06:10 | INFO | Calculating result for job JokerJob took time
30-03-2020@12:06:23 | INFO | Job with name JokerJob was done at time
30-03-2020@12:06:24 | INFO | Calculating result for job JokerJob took time
30-03-2020@12:06:24 | INFO | Job with name JokerJob was done at time
30-03-2020@12:06:25 | INFO | Calculating result for job JokerJob took time
30-03-2020@12:06:35 | INFO | Job with name JokerJob was done at time
30-03-2020@12:06:37 | INFO | Calculating result for job JokerJob took time
30-03-2020@12:06:37 | INFO | Job with name JokerJob was done at time
30-03-2020@12:06:37 | INFO | Calculating result for job JokerJob took time
30-03-2020@12:07:52 | INFO | Job with name JokerJob was done at time
30-03-2020@12:07:54 | INFO | Calculating result for job JokerJob took time
30-03-2020@12:07:54 | INFO | Job with name JokerJob was done at time
30-03-2020@12:07:54 | INFO | Calculating result for job JokerJob took time
30-03-2020@12:09:06 | INFO | Job with name JokerJob was done at time
30-03-2020@12:09:08 | INFO | Calculating result for job JokerJob took time
30-03-2020@12:09:08 | INFO | Job with name JokerJob was done at time
30-03-2020@12:09:11 | INFO | Calculating result for job JokerJob took time
30-03-2020@12:09:28 | INFO | Job with name JokerJob was done at time
30-03-2020@12:09:30 | INFO | Calculating result for job JokerJob took time
30-03-2020@12:09:30 | INFO | Job with name JokerJob was done at time
30-03-2020@12:09:30 | INFO | Calculating result for job JokerJob took time
30-03-2020@14:04:06 | INFO | Job with name JokerJob was done at time
30-03-2020@14:04:07 | INFO | Calculating result for job JokerJob took time
30-03-2020@14:04:08 | INFO | Job with name JokerJob was done at time
30-03-2020@14:04:08 | INFO | Calculating result for job JokerJob took time
30-03-2020@14:14:01 | INFO | Job with name JokerJob was done at time
30-03-2020@14:14:03 | INFO | Calculating result for job JokerJob took time
30-03-2020@14:14:03 | INFO | Job with name JokerJob was done at time
30-03-2020@14:14:03 | INFO | Calculating result for job JokerJob took time
30-03-2020@14:14:12 | INFO | Job with name JokerJob was done at time
30-03-2020@14:14:14 | INFO | Calculating result for job JokerJob took time
30-03-2020@14:14:14 | INFO | Job with name JokerJob was done at time
30-03-2020@14:14:15 | INFO | Calculating result for job JokerJob took time
30-03-2020@14:15:41 | INFO | Job with name JokerJob was done at time
30-03-2020@14:15:42 | INFO | Job with name JokerJob was done at time
30-03-2020@14:15:43 | INFO | Calculating result for job JokerJob took time
30-03-2020@14:15:43 | INFO | Job with name JokerJob was done at time
30-03-2020@14:15:43 | INFO | Calculating result for job JokerJob took time
30-03-2020@14:15:43 | INFO | Calculating result for job JokerJob took time
30-03-2020@14:15:44 | INFO | Job with name JokerJob was done at time
30-03-2020@14:15:44 | INFO | Calculating result for job JokerJob took time
31-03-2020@14:52:15 | INFO | Job with name JokerJob was done at time
31-03-2020@14:52:17 | INFO | Calculating result for job JokerJob took time
31-03-2020@14:52:17 | INFO | Job with name JokerJob was done at time
31-03-2020@14:52:17 | INFO | Calculating result for job JokerJob took time
31-03-2020@14:53:37 | INFO | Job with name JokerJob was done at time
31-03-2020@14:53:39 | INFO | Calculating result for job JokerJob took time
31-03-2020@14:53:40 | INFO | Job with name JokerJob was done at time
31-03-2020@14:53:40 | INFO | Calculating result for job JokerJob took time
31-03-2020@15:40:44 | INFO | Job with name JokerJob was done at time
31-03-2020@15:40:45 | INFO | Calculating result for job JokerJob took time
31-03-2020@15:40:45 | INFO | Job with name JokerJob was done at time
31-03-2020@15:40:46 | INFO | Calculating result for job JokerJob took time
31-03-2020@15:53:48 | INFO | Job with name JokerJob was done at time
31-03-2020@15:53:50 | INFO | Calculating result for job JokerJob took time
31-03-2020@15:53:50 | INFO | Job with name JokerJob was done at time
31-03-2020@15:53:51 | INFO | Calculating result for job JokerJob took time
05-04-2020@18:23:03 | INFO | Job with name JokerJob was done at time
05-04-2020@18:23:04 | INFO | Calculating result for job JokerJob took time
05-04-2020@18:23:05 | INFO | Job with name JokerJob was done at time
05-04-2020@18:23:05 | INFO | Calculating result for job JokerJob took time
05-04-2020@18:30:12 | INFO | Job with name JokerJob was done at time
05-04-2020@18:30:13 | INFO | Calculating result for job JokerJob took time
05-04-2020@18:30:13 | INFO | Job with name JokerJob was done at time
05-04-2020@18:30:13 | INFO | Calculating result for job JokerJob took time
05-04-2020@18:30:23 | INFO | Job with name JokerJob was done at time
05-04-2020@18:30:24 | INFO | Calculating result for job JokerJob took time
05-04-2020@18:30:24 | INFO | Job with name JokerJob was done at time
05-04-2020@18:30:24 | INFO | Calculating result for job JokerJob took time
05-04-2020@18:30:48 | INFO | Job with name JokerJob was done at time
05-04-2020@18:30:49 | INFO | Calculating result for job JokerJob took time
05-04-2020@18:30:49 | INFO | Job with name JokerJob was done at time
05-04-2020@18:30:49 | INFO | Calculating result for job JokerJob took time
05-04-2020@18:32:40 | INFO | Took 9.427053689956665 to get 126 tweets
05-04-2020@18:32:40 | INFO | Took 0.01627969741821289 to remove duplicates from tweets list
05-04-2020@18:32:40 | INFO | Took 0.0019211769104003906 to sort tweets by date likes and retweets
05-04-2020@18:32:40 | INFO | Took 0.0017049312591552734 to clean tweets
05-04-2020@18:32:41 | INFO | Took 0.000232696533203125 to write and upload tweets to s3. Upload path BreakJob.txt
05-04-2020@18:32:41 | INFO | Took 0.014860868453979492 to get highest likes_and_retweets list
05-04-2020@18:32:43 | INFO | New sentiment analysis job has started, with the following info {'job_name': 'BreakJob', 'job_id': '07c3994c375c2950fb481a72e1c71c24', 'out_path': 'SA-Outputs/302740440137-SENTIMENT-07c3994c375c2950fb481a72e1c71c24/output/output.tar.gz', 'start_time': datetime.datetime(2020, 4, 5, 18, 32, 42, 881000, tzinfo=tzlocal())}
05-04-2020@18:33:00 | INFO | Took 21.741241931915283 to get 321 tweets
05-04-2020@18:33:00 | INFO | Took 0.009236574172973633 to remove duplicates from tweets list
05-04-2020@18:33:00 | INFO | Took 0.0009968280792236328 to sort tweets by date likes and retweets
05-04-2020@18:33:00 | INFO | Took 0.0032782554626464844 to clean tweets
05-04-2020@18:33:02 | INFO | Took 0.00021648406982421875 to write and upload tweets to s3. Upload path BirdJob.txt
05-04-2020@18:33:02 | INFO | Took 0.0028166770935058594 to get highest likes_and_retweets list
